Robot X, Robot Y, Robot Yaw
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.22, -1.77, 0.0),
(0.23, -1.77, 0.0),
(0.23, -1.77, 0.0),
(0.23, -1.77, 0.0),
(0.23, -1.77, 0.0),
(0.24, -1.77, -0.0),
(0.24, -1.77, -0.0),
(0.25, -1.77, -0.01),
(0.25, -1.77, -0.02),
(0.26, -1.77, -0.02),
(0.26, -1.77, -0.03),
(0.27, -1.77, -0.03),
(0.27, -1.77, -0.04),
(0.28, -1.77, -0.04),
(0.28, -1.77, -0.05),
(0.29, -1.77, -0.05),
(0.29, -1.77, -0.06),
(0.3, -1.77, -0.07),
(0.3, -1.77, -0.07),
(0.31, -1.77, -0.08),
(0.31, -1.77, -0.09),
(0.32, -1.77, -0.09),
(0.32, -1.77, -0.1),
(0.33, -1.77, -0.11),
(0.33, -1.77, -0.11),
(0.34, -1.77, -0.12),
(0.34, -1.77, -0.12),
(0.35, -1.77, -0.12),
(0.35, -1.77, -0.12),
(0.36, -1.78, -0.12),
(0.36, -1.78, -0.12),
(0.37, -1.78, -0.12),
(0.37, -1.78, -0.11),
(0.38, -1.78, -0.11),
(0.38, -1.78, -0.1),
(0.39, -1.78, -0.1),
(0.39, -1.78, -0.09),
(0.4, -1.78, -0.09),
(0.4, -1.78, -0.08),
(0.41, -1.78, -0.08),
(0.41, -1.78, -0.07),
(0.42, -1.78, -0.06),
(0.42, -1.78, -0.05),
(0.43, -1.78, -0.04),
(0.43, -1.78, -0.04),
(0.44, -1.78, -0.03),
(0.44, -1.78, -0.02),
(0.45, -1.78, -0.02),
(0.45, -1.78, -0.01),
(0.46, -1.78, -0.01),
(0.46, -1.78, -0.0),
(0.47, -1.78, 0.0),
(0.47, -1.78, 0.01),
(0.48, -1.78, 0.01),
(0.48, -1.78, 0.01),
(0.48, -1.78, 0.01),
(0.49, -1.78, 0.02),
(0.49, -1.78, 0.02),
(0.5, -1.78, 0.02),
(0.5, -1.78, 0.03),
(0.51, -1.78, 0.03),
(0.51, -1.78, 0.03),
(0.52, -1.78, 0.03),
(0.52, -1.78, 0.03),
(0.53, -1.78, 0.04),
(0.53, -1.78, 0.04),
(0.54, -1.78, 0.04),
(0.54, -1.78, 0.04),
(0.55, -1.78, 0.04),
(0.55, -1.78, 0.04),
(0.56, -1.78, 0.04),
(0.56, -1.78, 0.04),
(0.57, -1.78, 0.04),
(0.57, -1.78, 0.04),
(0.58, -1.78, 0.05),
(0.58, -1.78, 0.05),
(0.59, -1.78, 0.05),
(0.59, -1.78, 0.05),
(0.6, -1.78, 0.05),
(0.6, -1.78, 0.05),
(0.61, -1.78, 0.05),
(0.61, -1.78, 0.05),
(0.62, -1.78, 0.04),
(0.62, -1.78, 0.04),
(0.63, -1.78, 0.04),
(0.63, -1.78, 0.04),
(0.64, -1.78, 0.04),
(0.64, -1.78, 0.04),
(0.65, -1.78, 0.03),
(0.65, -1.78, 0.03),
(0.66, -1.78, 0.03),
(0.66, -1.78, 0.03),
(0.67, -1.77, 0.02),
(0.67, -1.77, 0.02),
(0.68, -1.77, 0.02),
(0.68, -1.77, 0.02),
(0.69, -1.77, 0.02),
(0.69, -1.77, 0.02),
(0.7, -1.77, 0.02),
(0.7, -1.77, 0.02),
(0.71, -1.77, 0.02),
(0.71, -1.77, 0.01),
(0.72, -1.77, 0.01),
(0.72, -1.77, 0.01),
(0.73, -1.77, 0.01),
(0.73, -1.77, 0.01),
(0.74, -1.77, 0.01),
(0.74, -1.77, 0.0),
(0.75, -1.77, 0.0),
(0.75, -1.77, 0.0),
(0.76, -1.77, -0.0),
(0.76, -1.77, -0.0),
(0.77, -1.77, -0.0),
(0.77, -1.77, -0.0),
(0.78, -1.77, -0.0),
(0.78, -1.77, -0.0),
(0.79, -1.77, -0.0),
(0.79, -1.77, -0.0),
(0.8, -1.77, -0.0),
(0.8, -1.77, -0.0),
(0.81, -1.77, -0.01),
(0.81, -1.77, -0.01),
(0.82, -1.77, -0.01),
(0.82, -1.77, -0.01),
(0.83, -1.77, -0.01),
(0.83, -1.77, -0.01),
(0.84, -1.77, -0.01),
(0.84, -1.77, -0.01),
(0.85, -1.77, -0.01),
(0.85, -1.77, -0.01),
(0.86, -1.77, -0.01),
(0.86, -1.77, -0.01),
(0.87, -1.77, -0.01),
(0.87, -1.77, -0.01),
(0.88, -1.77, -0.01),
(0.88, -1.77, -0.01),
(0.89, -1.77, -0.01),
(0.89, -1.77, -0.01),
(0.9, -1.77, -0.01),
(0.9, -1.77, -0.01),
(0.91, -1.77, -0.01),
(0.91, -1.77, -0.01),
(0.92, -1.77, -0.01),
(0.92, -1.77, -0.01),
(0.93, -1.77, -0.01),
(0.93, -1.78, -0.01),
(0.94, -1.78, -0.01),
(0.94, -1.78, -0.01),
(0.95, -1.78, -0.01),
(0.95, -1.78, -0.01),
(0.96, -1.78, -0.0),
(0.96, -1.78, -0.0),
(0.97, -1.78, -0.0),
(0.97, -1.78, -0.0),
(0.98, -1.78, -0.0),
(0.98, -1.78, -0.0),
(0.99, -1.78, 0.0),
(0.99, -1.78, 0.0),
(1.0, -1.78, 0.0),
(1.0, -1.78, 0.0),
(1.01, -1.78, 0.0),
(1.01, -1.78, 0.0),
(1.02, -1.78, 0.0),
(1.02, -1.78, 0.0),
(1.03, -1.78, 0.0),
(1.03, -1.78, 0.0),
(1.04, -1.78, 0.0),
(1.04, -1.78, 0.0),
(1.05, -1.78, 0.01),
(1.05, -1.78, 0.01),
(1.06, -1.78, 0.01),
(1.06, -1.78, 0.01),
(1.07, -1.77, 0.01),
(1.07, -1.77, 0.01),
(1.08, -1.77, 0.01),
(1.08, -1.77, 0.01),
(1.09, -1.77, 0.01),
(1.09, -1.77, 0.01),
(1.1, -1.77, 0.01),
(1.1, -1.77, 0.01),
(1.11, -1.77, 0.01),
(1.11, -1.77, 0.01),
(1.12, -1.77, 0.01),
(1.12, -1.77, 0.01),
(1.13, -1.77, 0.01),
(1.13, -1.77, 0.01),
(1.14, -1.77, 0.01),
(1.14, -1.77, 0.01),
(1.15, -1.77, 0.01),
(1.15, -1.77, 0.01),
(1.16, -1.77, 0.01),
(1.16, -1.77, 0.01),
(1.17, -1.77, 0.01),
(1.17, -1.77, 0.01),
(1.18, -1.77, 0.01),
(1.18, -1.77, 0.01),
(1.19, -1.77, 0.01),
(1.19, -1.77, 0.01),
(1.2, -1.77, 0.01),
(1.2, -1.77, 0.01),
(1.21, -1.77, 0.02),
(1.21, -1.77, 0.02),
(1.22, -1.77, 0.02),
(1.22, -1.77, 0.02),
(1.23, -1.77, 0.02),
(1.23, -1.77, 0.02),
(1.24, -1.77, 0.02),
(1.24, -1.77, 0.02),
(1.25, -1.77, 0.02),
(1.25, -1.77, 0.02),
(1.26, -1.77, 0.02),
(1.26, -1.77, 0.02),
(1.27, -1.77, 0.02),
(1.27, -1.77, 0.03),
(1.28, -1.77, 0.03),
(1.28, -1.77, 0.03),
(1.29, -1.77, 0.03),
(1.29, -1.77, 0.03),
(1.3, -1.77, 0.03),
(1.3, -1.77, 0.03),
(1.31, -1.77, 0.03),
(1.31, -1.77, 0.03),
(1.32, -1.77, 0.04),
(1.32, -1.77, 0.04),
(1.33, -1.77, 0.04),
(1.33, -1.77, 0.04),
(1.34, -1.77, 0.05),
(1.34, -1.77, 0.05),
(1.35, -1.77, 0.05),
(1.35, -1.77, 0.06),
(1.36, -1.77, 0.06),
(1.36, -1.77, 0.07),
(1.37, -1.77, 0.07),
(1.37, -1.77, 0.07),
(1.38, -1.77, 0.08),
(1.38, -1.77, 0.08),
(1.39, -1.77, 0.09),
(1.39, -1.77, 0.09),
(1.39, -1.77, 0.1),
(1.4, -1.77, 0.1),
(1.4, -1.76, 0.11),
(1.41, -1.76, 0.12),
(1.41, -1.76, 0.12),
(1.42, -1.76, 0.13),
(1.42, -1.76, 0.14),
(1.43, -1.76, 0.15),
(1.43, -1.76, 0.15),
(1.44, -1.76, 0.16),
(1.44, -1.76, 0.17),
(1.45, -1.76, 0.18),
(1.45, -1.76, 0.19),
(1.46, -1.76, 0.2),
(1.46, -1.76, 0.21),
(1.47, -1.75, 0.22),
(1.47, -1.75, 0.23),
(1.48, -1.75, 0.24),
(1.48, -1.75, 0.25),
(1.49, -1.75, 0.26),
(1.49, -1.75, 0.28),
(1.5, -1.75, 0.29),
(1.5, -1.75, 0.3),
(1.51, -1.74, 0.32),
(1.51, -1.74, 0.33),
(1.52, -1.74, 0.35),
(1.52, -1.74, 0.36),
(1.52, -1.74, 0.38),
(1.53, -1.74, 0.39),
(1.53, -1.73, 0.41),
(1.54, -1.73, 0.43),
(1.54, -1.73, 0.45),
(1.55, -1.73, 0.46),
(1.55, -1.73, 0.48),
(1.55, -1.72, 0.5),
(1.56, -1.72, 0.51),
(1.56, -1.72, 0.53),
(1.57, -1.72, 0.54),
(1.57, -1.71, 0.56),
(1.58, -1.71, 0.58),
(1.58, -1.71, 0.6),
(1.58, -1.71, 0.62),
(1.59, -1.7, 0.63),
(1.59, -1.7, 0.65),
(1.59, -1.7, 0.67),
(1.6, -1.69, 0.68),
(1.6, -1.69, 0.7),
(1.61, -1.69, 0.72),
(1.61, -1.68, 0.74),
(1.61, -1.68, 0.76),
(1.62, -1.68, 0.78),
(1.62, -1.67, 0.79),
(1.62, -1.67, 0.81),
(1.63, -1.67, 0.83),
(1.63, -1.66, 0.85),
(1.63, -1.66, 0.86),
(1.64, -1.66, 0.88),
(1.64, -1.65, 0.9),
(1.64, -1.65, 0.92),
(1.64, -1.65, 0.94),
(1.65, -1.64, 0.96),
(1.65, -1.64, 0.98),
(1.65, -1.63, 1.0),
(1.66, -1.63, 1.01),
(1.66, -1.63, 1.03),
(1.66, -1.62, 1.05),
(1.66, -1.62, 1.06),
(1.67, -1.61, 1.08),
(1.67, -1.61, 1.09),
(1.67, -1.6, 1.11),
(1.67, -1.6, 1.12),
(1.67, -1.6, 1.14),
(1.68, -1.59, 1.15),
(1.68, -1.59, 1.17),
(1.68, -1.58, 1.19),
(1.68, -1.58, 1.2),
(1.68, -1.57, 1.22),
(1.68, -1.57, 1.23),
(1.69, -1.56, 1.25),
(1.69, -1.56, 1.26),
(1.69, -1.55, 1.28),
(1.69, -1.55, 1.29),
(1.69, -1.55, 1.31),
(1.69, -1.54, 1.32),
(1.69, -1.54, 1.34),
(1.7, -1.53, 1.35),
(1.7, -1.53, 1.36),
(1.7, -1.52, 1.37),
(1.7, -1.52, 1.39),
(1.7, -1.51, 1.4),
(1.7, -1.51, 1.41),
(1.7, -1.5, 1.43),
(1.7, -1.5, 1.44),
(1.7, -1.49, 1.45),
(1.7, -1.49, 1.46),
(1.7, -1.48, 1.47),
(1.7, -1.48, 1.49),
(1.7, -1.47, 1.5),
(1.7, -1.47, 1.51),
(1.7, -1.46, 1.52),
(1.7, -1.46, 1.53),
(1.7, -1.45, 1.53),
(1.7, -1.45, 1.54),
(1.71, -1.44, 1.55),
(1.71, -1.44, 1.55),
